"Country","continent","total_cases","total_deaths","population","total_tests","Longitude","Latitude","policy"
"Afghanistan","Asia",173047,7578,40099462,NA,65,33,"No Tourism"
"Albania","Europe",270947,3457,2854710,NA,20,41,"Quarantine"
"Algeria","Africa",264603,6820,44177969,NA,3,28,"Heavy use of Masks/PPE"
"Andorra","Europe",37958,151,79034,NA,1.6,42.5,"Travel Ban"
"Angola","Africa",98701,1899,34503774,NA,18.5,-12.5,"Heavy use of Masks/PPE"
"Anguilla","North America",2528,9,15753,NA,-63.1667,18.25,"Heavy Survillance"
"Antigua and Barbuda","North America",7435,135,93220,NA,-61.8,17.05,"Lockdown"
"Argentina","South America",8878486,125872,45276780,34500403,-64,-34,"Quarantine"
"Armenia","Asia",418220,8392,2790974,2885418,45,40,"Quarantine"
"Aruba","North America",33655,211,106536,NA,-69.9667,12.5,"Heavy Survillance"
"Australia","Oceania",3150771,5095,25921089,63215179,133,-27,"Quarantine"
"Austria","Europe",2565399,17786,8922082,157354898,13.3333,47.3333,"Lockdown"
"Azerbaijan","Asia",781538,9330,10312992,6531133,47.5,40.5,"Quarantine"
"Bahamas","North America",33105,771,407906,NA,-76,24.25,"Lockdown"
"Bahrain","Asia",504375,1447,1463265,9338809,50.55,26,"Lockdown"
"Bangladesh","Asia",1939651,29005,169356251,13312574,90,24,"No Tourism"
"Barbados","North America",54536,312,281200,NA,-59.5333,13.1667,"No Policy"
"Belarus","Europe",902315,6421,9578168,12367231,28,53,"Quarantine"
"Belgium","Europe",3537675,30101,11611420,31609690,4,50.8333,"Heavy use of Masks/PPE"
"Belize","North America",56525,648,400031,NA,-88.75,17.25,"Travel Ban"
"Benin","Africa",26567,163,12996895,NA,2.25,9.5,"No Policy"
"Bermuda","North America",11490,123,64185,NA,-64.75,32.3333,"Travel Ban"
"Bhutan","Asia",11010,6,777486,1675554,90.5,27.5,"No Tourism"
"Bolivia","South America",891851,21406,12079472,3868938,-65,-17,"Quarantine"
"Bonaire Sint Eustatius and Saba","North America",7566,31,26706,NA,NA,NA,"Heavy use of Masks/PPE"
"Bosnia and Herzegovina","Europe",370295,15392,3270943,NA,18,44,"Lockdown"
"Botswana","Africa",262652,2614,2588423,NA,24,-22,"Travel Ban"
"Brazil","South America",28589235,647703,214326223,NA,-55,-10,"Quarantine"
"British Virgin Islands","North America",6074,62,31122,NA,NA,NA,"Travel Ban"
"Brunei","Asia",48055,113,445373,NA,114.6667,4.5,"Travel Ban"
"Bulgaria","Europe",1083425,35357,6885868,9125177,25,43,"Quarantine"
"Burkina Faso","Africa",20751,375,22100683,NA,-2,13,"Lockdown"
"Burundi","Africa",38047,38,12551213,NA,30,-3.5,"Heavy use of Masks/PPE"
"Cambodia","Asia",128599,3026,16589023,2852348,105,13,"Heavy use of Masks/PPE"
"Cameroon","Africa",119240,1923,27198628,NA,12,6,"Heavy use of Masks/PPE"
"Canada","North America",3280453,36332,38155012,58032175,-95,60,"Heavy Survillance"
"Cape Verde","Africa",55876,401,587925,NA,-24,16,"Travel Ban"
"Cayman Islands","North America",19373,17,68136,NA,-80.5,19.5,"Lockdown"
"Central African Republic","Africa",14187,113,5457154,NA,21,7,"Travel Ban"
"Chad","Africa",7248,190,17179740,NA,19,15,"Travel Ban"
"Chile","South America",2953895,41795,19493184,32381790,-71,-30,"No Tourism"
"China","Asia",123473,4636,1425893464,NA,105,35,"Heavy use of Masks/PPE"
"Colombia","South America",6056556,138421,51516562,33024037,-72,4,"Heavy Survillance"
"Comoros","Africa",8026,160,821626,NA,44.25,-12.1667,"No Policy"
"Congo","Africa",23967,378,5835806,NA,15,-1,"Heavy use of Masks/PPE"
"Cook Islands","Oceania",6,NA,17003,NA,-159.7667,-21.2333,"Lockdown"
"Costa Rica","North America",799826,7984,5153957,2877694,-84,10,"Travel Ban"
"Cote d'Ivoire","Africa",81410,791,27478249,1406040,NA,NA,"Travel Ban"
"Croatia","Europe",1049667,14964,4060135,4496130,15.5,45.1667,"Lockdown"
"Cuba","North America",1067522,8494,11256372,NA,-80,21.5,"No Policy"
"Curacao","North America",38867,261,190338,NA,NA,NA,"No Tourism"
"Cyprus","Europe",313406,833,896007,25264396,33,35,"Heavy Survillance"
"Czechia","Europe",3549479,38433,10510750,52697180,NA,NA,"No Policy"
"Democratic Republic of Congo","Africa",85938,1335,95894118,NA,NA,NA,"Lockdown"
"Denmark","Europe",2691663,4461,5854240,62517598,10,56,"Lockdown"
"Djibouti","Africa",15545,189,1105557,NA,43,11.5,"No Tourism"
"Dominica","North America",11016,57,72412,NA,-61.3333,15.4167,"Heavy Survillance"
"Dominican Republic","North America",573458,4363,11117874,3098279,-70.6667,19,"No Policy"
"Ecuador","South America",827760,35223,17797737,2515184,-77.5,-2,"Heavy use of Masks/PPE"
"Egypt","Africa",477173,23927,109262178,NA,30,27,"No Tourism"
"El Salvador","North America",147786,4058,6314167,1381683,-88.9167,13.8333,"Quarantine"
"Equatorial Guinea","Africa",15877,182,1634466,287396,10,2,"No Tourism"
"Eritrea","Africa",9696,103,3620312,NA,39,15,"No Policy"
"Estonia","Europe",478941,2195,1328701,3096130,26,59,"No Policy"
