"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"AFG","Asia","Afghanistan",2020-12-08,48136,235,234,1902,27,18.286,1200.415,5.86,5.835,47.432,0.673,0.456,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,40099462,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,NA,NA,NA,NA
"OWID_AFR",NA,"Africa",2020-12-08,2287309,13255,14593.429,54520,402,324.286,1642.716,9.52,10.481,39.156,0.289,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392394303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB","Europe","Albania",2020-12-08,44436,753,774.571,936,14,16.286,15565.854,263.775,271.331,327.879,4.904,5.705,1.03,NA,NA,NA,NA,NA,NA,NA,NA,193119,2532,67.649,0.887,2040,0.715,0.3797,2.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.74,2854710,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"DZA","Africa","Algeria",2020-12-08,89416,591,752,2539,12,13.143,2023.995,13.378,17.022,57.472,0.272,0.297,0.77,44,0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.22,44177969,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,NA,NA,NA,NA
"AND","Europe","Andorra",2020-12-08,7127,43,48.143,78,0,0.286,90176.38,544.07,609.141,986.917,0,3.615,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,7.301,0.0834,12,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,79034,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA,NA
"AGO","Africa","Angola",2020-12-08,15729,81,68.286,355,1,0.714,455.863,2.348,1.979,10.289,0.029,0.021,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.74,34503774,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,NA,NA,NA,NA
"AIA","North America","Anguilla",2020-12-08,10,0,0.571,NA,NA,NA,634.8,0,36.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA,NA,NA,NA,NA
"ATG","North America","Antigua and Barbuda",2020-12-08,146,0,0.571,4,0,0,1566.188,0,6.13,42.909,0,0,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0.526,0.0117,85.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93220,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778,NA,NA,NA,NA
"ARG","South America","Argentina",2020-12-08,1469919,3610,5335.571,40009,121,154.429,32465.184,79.732,117.843,883.654,2.672,3.411,0.83,3715,82.051,NA,NA,NA,NA,NA,NA,4390223,13120,96.964,0.29,21496,0.475,0.184,5.4,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.17,45276780,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845,NA,NA,NA,NA
"ARM","Asia","Armenia",2020-12-08,142928,584,994.429,2372,28,25.571,51210.796,209.246,356.302,849.883,10.032,9.162,0.86,NA,NA,NA,NA,NA,NA,NA,NA,535833,3306,191.988,1.185,2834,1.015,0.344,2.9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2790974,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,NA,NA,NA,NA
"ABW","North America","Aruba",2020-12-08,4984,18,16,45,0,0,46782.308,168.957,150.184,422.392,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.89,106536,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA,NA,NA,NA,NA
"OWID_ASI",NA,"Asia",2020-12-08,17775272,118482,122147.571,305223,1627,1606.714,3787.424,25.245,26.026,65.035,0.347,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4693235454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia",2020-12-08,27993,6,10,908,0,0,1079.931,0.231,0.386,35.029,0,0,0.99,0,0,32,1.235,NA,NA,NA,NA,10229311,22558,394.633,0.87,28853,1.113,3e-04,2885.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,25921089,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,NA,NA,NA,NA
"AUT","Europe","Austria",2020-12-08,303950,2067,3294.143,5135,106,132.857,34067.161,231.672,369.212,575.538,11.881,14.891,0.77,609,68.258,3917,439.023,NA,NA,NA,NA,3281731,19643,367.821,2.202,22889,2.565,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,8922082,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922,NA,NA,NA,NA
"AZE","Asia","Azerbaijan",2020-12-08,154152,4387,4078.571,1713,38,40,14947.36,425.386,395.479,166.101,3.685,3.879,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.54,10312992,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,NA,NA,NA,NA
