"Country","date","continent","total_cases","total_deaths","population","total_tests","Longitude","Latitude"
"Sweden","2020-02-01","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-02","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-03","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-04","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-05","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-06","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-07","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-08","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-09","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-10","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-11","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-12","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-13","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-14","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-15","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-16","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-17","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-18","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-19","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-20","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-21","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-22","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-23","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-24","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-25","Europe","      1",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-26","Europe","      2",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-27","Europe","      3",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-28","Europe","     11",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-02-29","Europe","     14",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-01","Europe","     14",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-02","Europe","     19",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-03","Europe","     32",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-04","Europe","     62",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-05","Europe","     87",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-06","Europe","    146",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-07","Europe","    179",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-08","Europe","    225",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-09","Europe","    326",NA,"10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-10","Europe","    424","    1","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-11","Europe","    620","    1","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-12","Europe","    771","    2","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-13","Europe","    923","    3","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-14","Europe","    994","    5","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-15","Europe","   1063","    7","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-16","Europe","   1146","    8","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-17","Europe","   1265","   14","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-18","Europe","   1410","   21","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-19","Europe","   1553","   30","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-20","Europe","   1733","   38","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-21","Europe","   1868","   49","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-22","Europe","   1986","   60","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-23","Europe","   2168","   81","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-24","Europe","   2398","  103","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-25","Europe","   2712","  134","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-26","Europe","   2998","  166","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-27","Europe","   3363","  201","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-28","Europe","   3663","  239","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-29","Europe","   3943","  284","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-30","Europe","   4359","  332","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-03-31","Europe","   4834","  385","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-01","Europe","   5320","  455","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-02","Europe","   5874","  535","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-03","Europe","   6475","  605","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-04","Europe","   6832","  373","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-05","Europe","   7172","  401","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-06","Europe","   7561","  477","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-07","Europe","   8299","  591","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-08","Europe","   8954","  687","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-09","Europe","   9599","  793","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-10","Europe","  10053","  870","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-11","Europe","  10448","  887","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-12","Europe","  10912","  899","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-13","Europe","  11349","  919","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-14","Europe","  11828"," 1033","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-15","Europe","  12432"," 1203","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-16","Europe","  13055"," 1333","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-17","Europe","  13743"," 1400","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-18","Europe","  14275"," 1511","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-19","Europe","  14663"," 1540","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-20","Europe","  15124"," 1580","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-21","Europe","  15831"," 1765","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-22","Europe","  16553"," 1937","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-23","Europe","  17311"," 2021","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-24","Europe","  18090"," 2152","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-25","Europe","  18563"," 2192","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-26","Europe","  18863"," 2194","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-27","Europe","  19426"," 2274","10467097",NA,"  15.0000"," 62.0000"
"Sweden","2020-04-28","Europe","  20168"," 2355","10467097",NA,"  15.0000"," 62.0000"
